candidate_id,idea_id,p_hash,pnl,trades,profit_factor,max_drawdown,execution_status,notes
CAND_0001,IDEA_001,b56660bdd221ff6b73b3c904940143f2b01994cd3d670ad06129a311f5d584bd,-2421.924818222174,343,0.8722275095018496,0.2892403310522779,ENGINE_EXECUTED,Executed successfully.
CAND_0002,IDEA_002,a248e5b091cd681158779d1707104abaf46854c0d60ee09c1e24da29efec2137,-2421.924818222174,343,0.8722275095018496,0.2892403310522779,ENGINE_EXECUTED,Executed successfully.
CAND_0003,IDEA_003,d0fe9ac51f5db88ca47952d56375d70cdf4f0fcf66eba4b505ee3b4f24eb8a62,-2421.924818222174,343,0.8722275095018496,0.2892403310522779,ENGINE_EXECUTED,Executed successfully.
CAND_0004,IDEA_004,bf78aba5cf73a8a576081605bb054e074908f57f3606811d1f1f07ec09d97908,-2421.924818222174,343,0.8722275095018496,0.2892403310522779,ENGINE_EXECUTED,Executed successfully.
CAND_0005,IDEA_005,4411af921a28cc8dda7c3fd053a87c2717fe47be2abf0ced9ddbaa8c828224c2,-2421.924818222174,343,0.8722275095018496,0.2892403310522779,ENGINE_EXECUTED,Executed successfully.
CAND_0006,IDEA_006,7043b68da67dcf7ba8542740f35649ca4541b75325f6573a5602f4bce38de329,-2421.924818222174,343,0.8722275095018496,0.2892403310522779,ENGINE_EXECUTED,Executed successfully.
CAND_0007,IDEA_007,2a6194bff0ff8ea05bd0717e3e85a4168cf1c684ea9e2b9361d0a6912cf3ac7b,-2421.924818222174,343,0.8722275095018496,0.2892403310522779,ENGINE_EXECUTED,Executed successfully.
CAND_0008,IDEA_008,3c7c4bbc35251cec7a04f12c9d667f7d7a9c1c9d3a386400f7183631cef2bdf6,-2421.924818222174,343,0.8722275095018496,0.2892403310522779,ENGINE_EXECUTED,Executed successfully.
CAND_0009,IDEA_009,713a1cdacb2ace52cfda7defbec122b60e367a8e3e2689a6e9af7f468a818677,-2421.924818222174,343,0.8722275095018496,0.2892403310522779,ENGINE_EXECUTED,Executed successfully.
CAND_0010,IDEA_010,95d88b302781ecfec2f711d57eb35a54f0b4d1ee0f3b59018f53a325fcda90a3,-2421.924818222174,343,0.8722275095018496,0.2892403310522779,ENGINE_EXECUTED,Executed successfully.
CAND_0011,IDEA_011,88c1055b48ad65f5440023d8eee8bb5ffe8eaee079db0bc774368e463e7629ae,-2421.924818222174,343,0.8722275095018496,0.2892403310522779,ENGINE_EXECUTED,Executed successfully.
CAND_0012,IDEA_012,e4e59398c5704625dfa1b57f9a82ef2c4c7537a4132e4d71019f9da3252a0b06,-2421.924818222174,343,0.8722275095018496,0.2892403310522779,ENGINE_EXECUTED,Executed successfully.
CAND_0013,IDEA_013,ddfb1b0a6026e999f47b15896bc746720880810c276ae9ff32433eabc70a32eb,-2421.924818222174,343,0.8722275095018496,0.2892403310522779,ENGINE_EXECUTED,Executed successfully.
