trade_id,sleeve,entry_time,exit_time,side,entry_price,pnl,r_multiple
PF8_001,core_pf12,1577844000000,1577862000000,Long,9000.0,350.0,2.5
PF8_002,core_pf12,1577847600000,1577865600000,Long,9000.0,350.0,2.5
PF8_003,core_pf12,1577851200000,1577869200000,Long,9000.0,350.0,2.5
PF8_004,core_pf12,1577854800000,1577872800000,Long,9000.0,350.0,2.5
PF8_005,core_pf12,1577858400000,1577876400000,Long,9000.0,350.0,2.5
PF8_006,core_pf12,1577862000000,1577880000000,Long,9000.0,350.0,2.5
PF8_007,core_pf12,1577865600000,1577883600000,Long,9000.0,350.0,2.5
PF8_008,core_pf12,1577869200000,1577887200000,Long,9000.0,350.0,2.5
PF8_009,core_pf12,1577872800000,1577890800000,Long,9000.0,350.0,2.5
PF8_010,core_pf12,1577876400000,1577894400000,Long,9000.0,350.0,2.5
PF8_011,core_pf12,1577880000000,1577898000000,Long,9000.0,350.0,2.5
PF8_012,core_pf12,1577883600000,1577901600000,Long,9000.0,350.0,2.5
PF8_013,core_pf12,1577887200000,1577905200000,Long,9000.0,350.0,2.5
PF8_014,core_pf12,1577890800000,1577908800000,Long,9000.0,350.0,2.5
PF8_015,core_pf12,1577894400000,1577912400000,Long,9000.0,350.0,2.5
PF8_016,core_pf12,1577898000000,1577916000000,Long,9000.0,350.0,2.5
PF8_017,core_pf12,1577901600000,1577919600000,Long,9000.0,350.0,2.5
PF8_018,core_pf12,1577905200000,1577923200000,Long,9000.0,350.0,2.5
PF8_019,core_pf12,1577908800000,1577926800000,Long,9000.0,350.0,2.5
PF8_020,core_pf12,1577912400000,1577930400000,Long,9000.0,350.0,2.5
