strategy,entry_time,entry_datetime,exit_time,exit_datetime,side,entry_price,exit_price,raw_exit_price,stop_loss,take_profit,size,gross_pnl,fees,entry_slippage,exit_slippage,slippage,funding,net_pnl,capital_after,reason,R,hold_candles,is_limit,is_fallback_market,is_partial_fill,is_adverse_selection,exit_datetime_parsed,month
variant_b_mtf_rescue,1578974400000,2020-01-14 04:00:00+00:00,1579010400000,2020-01-14 14:00:00+00:00,Long,8473.8,8637.074842104905,8641.395539874842,8346.320011290114,8641.395539874842,0.81,132.25262210497345,6.929904311052487,3.450599999998704,3.4997651936492913,6.950365193647995,1.7863513605000003,123.53636643342095,10123.536366433422,TP Hit,1.2807880182393256,10,False,False,False,False,2020-01-14 14:00:00,2020-01
variant_c_mtf_core,1579438800000,2020-01-19 13:00:00+00:00,1579780800000,2020-01-23 12:00:00+00:00,Short,8641.4,8404.925338484236,8400.724975996238,8822.16801728271,8400.724975996238,0.574,135.73645571004838,4.892295372144975,2.496900000000209,2.4110080681108883,4.907908068111097,-11.7413496491424,142.5855099870458,10266.121876420468,TP Hit,1.3081664835983275,95,False,False,False,False,2020-01-23 12:00:00,2020-01
variant_b_mtf_rescue,1580173200000,2020-01-28 01:00:00+00:00,1580230800000,2020-01-28 17:00:00+00:00,Long,9081.0,8935.066298255231,8939.536066288374,8939.536066288374,9266.656019043923,0.75,-109.45027630857658,6.756024861845712,3.4124999999994543,3.3523260248571205,6.764826024856575,8.345079493350001,-124.55138066377229,10141.570495756694,SL Hit,-1.0315965201579538,16,False,False,False,False,2020-01-28 17:00:00,2020-01
variant_c_mtf_core,1582736400000,2020-02-26 17:00:00+00:00,1583089200000,2020-03-01 19:00:00+00:00,Short,8743.5,8419.843547750665,8415.635729885722,8987.199074482282,8415.635729885722,0.424,137.2303357537182,3.638628832123141,1.8444000000001541,1.7841147747356736,3.6285147747358275,-14.748240566650399,148.33994748824546,10289.910443244939,TP Hit,1.3280988158732927,98,False,False,False,False,2020-03-01 19:00:00,2020-03
variant_c_mtf_core,1583996400000,2020-03-12 07:00:00+00:00,1584007200000,2020-03-12 10:00:00+00:00,Short,7498.4,7223.839853594733,7220.22973872537,7704.874588117733,7220.22973872537,0.507,139.20199422747038,3.732087802886265,1.90125,1.8303282387667397,3.7315782387667396,-0.396498255894,135.8664046804781,10425.776847925417,TP Hit,1.329752726028982,3,False,False,False,False,2020-03-12 10:00:00,2020-03
variant_c_mtf_core,1584064800000,2020-03-13 02:00:00+00:00,1584064800000,2020-03-13 02:00:00+00:00,Short,4060.9,4791.356147899492,4788.961667065959,4788.961667065959,3054.4571290750573,0.144,-105.18568529752677,0.6373624426487634,0.29519999999996066,0.34480524002871243,0.6400052400286731,0.0,-105.82304774017553,10319.953800185242,SL Hit,-1.0032888434343514,0,False,False,False,False,2020-03-13 02:00:00,2020-03
variant_c_mtf_core,1584345600000,2020-03-16 08:00:00+00:00,1584367200000,2020-03-16 14:00:00+00:00,Short,4780.7,5115.822327165053,5113.2656943178945,5113.2656943178945,4326.280424558479,0.313,-104.8932884026617,1.5488057442013308,0.7355500000001138,0.8002260811606584,1.5357760811607721,0.5520237102945,-106.99411785715753,10212.959682328084,SL Hit,-1.0076876024522086,6,False,False,False,False,2020-03-16 14:00:00,2020-03
variant_b_mtf_rescue,1584529200000,2020-03-18 11:00:00+00:00,1584536400000,2020-03-18 13:00:00+00:00,Short,5073.2,5323.722643457094,5321.062112400894,5321.062112400894,4736.949843887648,0.418,-104.71846496506532,2.172956832482533,1.0784399999999696,1.1121019814915762,2.190541981491546,0.0,-106.89142179754785,10106.068260530537,SL Hit,-1.0107339158471174,2,False,False,False,False,2020-03-18 13:00:00,2020-03
variant_b_mtf_rescue,1584612000000,2020-03-19 10:00:00+00:00,1584622800000,2020-03-19 13:00:00+00:00,Long,5592.0,5868.150518395427,5871.086061426139,5386.173235773179,5871.086061426139,0.498,137.52295816092257,2.853577479080461,1.404359999999855,1.4619004292947375,2.8662604292945923,0.0,134.6693806818421,10240.73764121238,TP Hit,1.3416647705305662,3,False,False,False,False,2020-03-19 13:00:00,2020-03
variant_c_mtf_core,1584626400000,2020-03-19 14:00:00+00:00,1584633600000,2020-03-19 16:00:00+00:00,Long,5839.6,6148.114014743123,6151.189609547897,5610.095481125515,6151.189609547897,0.452,139.4483346638916,2.709223367331946,1.333400000000329,1.390168851757655,2.723568851757984,-0.7208985142647999,137.46000981082446,10378.197651023203,TP Hit,1.3442611773228201,2,False,False,False,False,2020-03-19 16:00:00,2020-03
